Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Investor,Founders
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.", , , 
Propelld,"Education, Financial Services, FinTech",Seed,250000,"Bengaluru, Karnataka, India",Propelld is a student education financing platform., , , 
Fixpocket,"Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",Seed,250000,"Ahmedabad, Gujarat, India",Fixpocket is a internet-based startup., , , 
Roadcast,—,Angel,250000,"New Delhi, Delhi, India",Transforming the way businesses deliver. Work-force & fleet mobility tools., , , 
Kuvera.in,Financial Services,Angel,250000,"Bangalore, Karnataka, India",An online platform for mutual fund investments., , , 
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000,"Bangalore, Karnataka, India","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.", , , 
Gugu,"Battery, Electric Vehicle, Energy, Renewable Energy, Transportation",Seed,"$250,000 ","Coimbatore, Tamil Nadu, India",Gugu designs & Sells all Electric Connected Two-wheeler's with Network of Open & Free Fast charging Stations across India., , , 
Jade Forest,Beverages,Seed,"$250,000 ",Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",,,"Punweet Singh, Shuchir Suri"
Servify,,,"$250,000 ",Mumbai,It is a technology company which serves as a platform for brands to offer end-to-end solutions to their users,,Barkawi,Sreevathsa Prabhakar
Genius Corner,Edtech,,"$250,000 ",Noida,Framework to enable personalised learning using artificial intelligence (AI) and machine learning (ML).,2014,"Mahesh Mohta, Jyoti Arora, Nachu Subramanian, Srivats","Vishal Khatter, Dheeraj Khatter, Dipak Varshney"
Picxy,Media,,"$250,000 ",Hyderabad,Stock photo industry,,"FirstCheque, Angellist India, Aakrit Vaish, Ranjith Radhakrishnan",Jitendra Emmani
Mera Cashier,Fintech,Seed Round,"$250,000 ",Noida,App meant for small and micro businessmen to manage their transactions digitally,2019,"Amit Singal, Manish Aggarwal","Suneel Kumar, Sucharita Reddy, Gaurav Tomar, Akhilesh Nigam,"
Gyde,Computer software,Seed,"$250,000 ",Pune,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.",2019,"Better Capital, Ashish Achrekar","Prasanna Vaidya, Shubham Deshmukh"
KIWI,TaaS startup,Seed,"$250,000 ",New Delhi,"A peer to peer support network, which would enable billions of users across the world",2020,"PointOne Capital, Core91 VC","Imran Ladiwala, Mishu Ahluwalia"
Perfora,Consumer Goods,Pre-seed,"$260,000 ",Gurugram,"Building a disruptive, modern, and functional oral care brand for consumers in India and globally.",2021,Sauce.vc,"Tushar Khurana, Jatan Bawa"
Filo,EdTech,Pre-seed,"$260,000 ",New Delhi,Instant learning platform for students while self study.,2020,Better Capital,"Imbesat Ahmad, Shadman Anwer"
Ameliorate Biotech,Biotech,Angel Round,"$264,000 ",Bangalore,"Their products address the needs in Early Stage Diagnostics, Bio-Similars and Nutraceuticals.",,"PadUp, Villgro USA, Vinners, LetsVenture, SINE IIT Bombay, DERBI","Dr Binita Shrivastava Tunga, Dr Rashbehari Tunga"
Vendor Infra,Construction,,"$265,000 ",Gurugram,"A B2B Collaboration Platform for Infrastructure Sectors to Search Vendors, Get Quotes, Find Opportunities",2019,"SK Tripathi, Sanjeev Gupta",Rahul Jain
Data Sutram,AI,,"$266,500 ",Kolkata,Platform gathers intel from external data to provide location-based data intelligence.,2018,"Uday Sodhi, Mitesh Shah, Nitin Jain","Rajit Bhattacharya, Aisik Paul, Ankit Das"
Mitron,Media,Seed Round,"$267,000 ",Bangalore,Short Video and Social Platform,,"3One4 Capital, LetsVenture","Shivank Agarwal, Anish Khandelwal"
BiteSpeed,E-commerce,Seed,"$275,000 ",Gurgaon,Chat-based commerce for E-commerce brands,2019,Whiteboard Capital,"Vinayak, Kshitij Abhishek, Apoorv Sadana"
Quicko,Taxation,,"$280,000 ",Ahmedabad,Online tax planning and filing platform,,"Zerodha fintech fund, Rainmatter",Vishvajit Sonagara
Invento Robotics,AI Robotics,Seed Round,"$281,300 ",,Known for Mitra Series of Robots,,"Windrose Capital, ITI Growth Opportunities Venture Fund","Balaji Viswanathan, Be Limitless Inc., Zingfin.com, NalandaU"
Mindhouse,Healthtech,,"$286,000 ",Gurugram,A gym to train your mind offering workouts and programmes,2019,"GGV Capital, Sahi Barual","Pankaj Chaddah, Staff Pooja Khanna"
MechMocha,Entertainment,Series A,"$292,000 ",Bangalore,India's first vernacular social gaming platform,2011,"Accel India, Blume Ventures, 3F Ventures, Akatsuki Inc","Arpita Kapoor, Mohit Rangaraju, Shilp Gupta"
PumPumPum,IoT/Automobile,,"$293,000 ",Gurugram,Offers leased car services,,LetsVenture Syndicate,"Tarun Lawadia, Sameer Kalra"
PinkBlue,"Health Care, Hospital, Supply Chain Management",Seed,300000,"Bangalore, Karnataka, India",PinkBlue.in - Super-efficient supply-chain for clinical supplies, , , 
Silversparro Technologies Pvt. Ltd,"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Seed,300000,"Gurgaon, Haryana, India",Silversparro is a deep learning technology solution provider., , , 
NirogStreet,"Apps, Health Care, Internet, Mobile Apps, Personal Health",Seed,300000,"Gurgaon, Haryana, India",NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation., , , 
Huddle,Consulting,Seed,300000,"Haryana, Haryana, India",A coworking incubator Company., , , 
GeoIQ,AI startup,Seed,"$300,000 ",Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",2018,"Ankur Mittal, Mitesh Shah","Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur"
Ensuredit,FinTech,Pre-series A,"$300,000 ",Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,2019,Venture Catalysts,"Amit, Rohit Sadhu, and Vikas Ranga"
Lancify,EdTech,,"$300,000 ",Bangalore,Lancify is building the world's strongest young workforce,2018,"Techstars, Techstars Bangalore Accelerator","Gowtham Sundaresan, Azan Barodawala"
Rapawalk,E-commerce,Seed,"$300,000 ",Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,2017,"Sanjay Ramakrishnan, Ravi Garikipati","Kashif Mohammad, Aravind Maddireddy"
Tamasha.live,Gaming,,"$300,000 ",Mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",2020,"9Unicorns, Titan Capital, FirstCheque","Saurabh Gupta, Siddharth Swarnkar"
Genrobotics,AI startup,,"$300,000 ","Trivandrum, Kerala, India",GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,2015,Unicorn India Ventures,"Arun George, Nikhil NP, Rashid Bin Abdulla, Vimal Govind MK"
Equiwatt,Tech company,,"$300,000 ","Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,2015,Rising Stars,"Johnson Fernandes, Ravneet Kaur"
Deepsync,Tech Startup,,"$300,000 ",Bangalore,"Deepsync is a revolutionary way to record your content, without you really speaking.",2018,Venkat Raju,"Ishan Sharma, Rishikesh Kumar"
QShala,EdTech,,"$300,000 ",Bangalore,A platform that helps kids learn about life skills,2014,,"Sachin Ravi, Raghav Chakravarthy"
Bolo Indya,Media,Pre series A1,"$300,000 ",Gurugram,User-generated content platform,,"Eagle10 Ventures, India Accelerator, HNIs",Varun Saxena
Near Store,Ecommerce,Seed Round,"$300,000 ",Mumbai,Enables a shop to create an online presence,,Sauce.vc,
ixamBee,EdTech,Seed,"$300,000 ",New Delhi,ixamBee is to provide best online learning experience for preparation of competitive exams.,2016,"Mumbai Angels, Narendra Shyamsukha",Chandraprakash Joshi
Whiz League,EdTech,,"$300,000 ",New Delhi,Revolutionizing learning experience that goes beyond academia,2020,ITI Growth Opportunities,"Natasha Jain, Sonia Agarwal Bajaj"
ChefKart,Consumer Goods,Pre-seed,"$300,000 ",Gurugram,"ChefKart is an end to end kitchen aide that plans, shops and cooks for you in your home kitchen.",2020,"Lead Angels, Titan Capital, Pravega Ventures","Vaibhav Gupta, Arpit Gupta, Aman Gupta"
Fitpage,"Health, Wellness & Fitness",,"$300,000 ",Mumbai,"An endurance-first fitness tech platform focussed on enabling you to learn, eat, work out and live better.",2020,"Astra Ventures, Gaurav Jaitly",Vikas Singh
EduFund,FinTech,Pre-seed,"$300,000 ",Gujarat,Changing the way Indians evaluate and plan higher education,2020,View Trade Holding Corp,"Arindam Sengupta, Eela Dubey"
VenWiz,B2B service,Seed,"$300,000 ",Bangalore,Digitising the interactions between core industry and vendors for engineering services,2020,"Accel, Nexus Venture","Rajesh Reddy, Sandesh Paturi"
PurpleTutor,EdTech,Seed,"$300,000 ",Mumbai,PurpleTutor is the only coding platform that mandates every teacher to have a formal Computer Science degree,2019,IvyCap Ventures,"Gaurav Perti, Yatish Gupta"
Finsall,Insuretech,Seed,"$300,000 ",Bangalore,Finsall provides Insurance Premium Financing,2019,Unicorn India Ventures,"Prabal Khanna, Tim Mathews"
iMumz,Healthcare,,"$300,000 ",Bangalore,"iMumz empowers pregnant mothers to deliver healthy, happy, and intelligent babies through a positive lifestyle.",2019,"Enzia Ventures, AngelList","Dr Jaideep Malhotra, Rajesh Jagasia, Ravi Teja Akondi, Mayur Dhurpate"
Ourbetterplanet,E-commerce,Seed,"$300,000 ",Bangalore,A curated online marketplace for all things sustainable!,2020,VANS Group,Pallavi Srivastava
NewsReach,Media,Seed,"$300,000 ",Ahmedabad,NewsReach is a Mumbai based company that wants to create a disruptive ecosystem of original and local news content.,2018,JITO Angel Network,"Soniya Kundnani, Darshan Shah"
ReDesyn,Merchandise,Pre-series A,"$300,000 ",Mumbai,"Merchandise drop-shipping platform for influencers, designers, creators & brands.",2016,Anthill Ventures,"Smriti Dubey, Shikhar Vaidya"
LetsDressUp,Apparel & Fashion,Pre-series A,"$300,000 ",Gurugram,Building India's version of Stitch Fix,2019,"Titan Capital, Sequoia Capital",Aditya B
peAR,Deeptech,Pre-series A1,"$300,000 ",Mumbai,An AR / VR tech based Start-up in Mumbai.,2018,Inflection Point Ventures,"Dharmin Vora, Dhruvesh Mehta, Parth Vora"
SpEd@home,EdTech,,"$300,000 ",Mumbai,"Provide Remediation, Occupational Therapy, Speech Therapy and Socio-emotional coaching for children with Learning Disabilities like Dyslexia, Dysgraphia, Dyscalculia",2020,,Dhaval Mody
Blaer Motors,Mobility,,"$300,000 ",Chennai,Meant to augment human power and not completely replace it,2014,The Chennai Angels,Abinesh Ekambaram
F5,Food & Beverages,Pre-series A,"$300,000 ",New Delhi,F5 is a foods and beverages company.,2018,"Venture Catalysts, Jeevak Gupta","Lalit Aggarwal, Raghav Arora"
Plutomen,AR startup,,"$300,000 ",Ahmadabad,Plutomen Technologies Pvt Ltd founded in Nov 2016 is recognized start-up by DIPP in the field of Emerging Technology.,2016,"GUSEC Seed Fund, DeVX Venture Fund",Keyur Bhalavat
Edmingle,EdTech,,"$300,000 ",Bangalore,Edmingle is a platform for all educators who want to launch their courses and sell them online.,2016,"Indovation Fund, Mumbai Angels",Gaurav Doshi
SkilloVilla,EdTech,Seed,"$300,000 ",Bangalore,Mission to support young graduates in enhancing their learnings and transform them into big earnings.,2020,Titan Capital,"Ronak Agrawal, Rajat Agrawal, Deepak Kharol"
Chirrup,Gaming,Pre-seed,"$300,000 ",Bangalore,Video integrated social-gaming platform,2020,"Titan Capital, iSeed, First Cheque, 3.0 Fund.","Vipul Garg, Sourav Lashkari, Mehul Mittal"
Indic Inspirations,Cultural,,"$300,000 ",Pune,"Indian Souvenirs online that reflect Indian tradition, culture & stories. Best for personal gifting and corporate gifting.",2019,Marquee investors,Sunil Jalihal
Convin,SaaS startup,Pre-seed,"$300,000 ",Bangalore,Convin is a conversation intelligence platform that helps remote sales teams to understand conversations on a deeper levels.,2019,"9Unicorns Accelerator Fund, Sunder Nookala","Ashish Santhalia, Atul Shree, Bharat Patidar, Durgesh Choudhary"
CloudFiles,SaaS startup,Pre-seed,"$300,000 ",Bangalore,"Supercharge files with enterprise-grade security, page-by-page analytics and powerful content automations.",2020,Titan Capital,"Vishesh Singhal, Ankit Gupta, Siddharth Garg"
Prodo,Business Supplies & Equipment,Pre-seed,"$300,000 ",New Delhi,"Prodo is an e-commerce platform that provides manufacturing of made-to-order, readymade and white labeled consumables for medium and large enterprises.",2021,"Titan Capital, LetsVenture","Sameen Husain, Abhiroop Srivastava"
Inzpira,E-learning,Seed,"$300,000 ",Trivandrum,"Inzpira is India's only Live online 1:1 platform for Language Learning & Test Preparation that lets users instantly connect with expert trainers and learn anytime, from anywhere.",2021,"Raj Nair, Gopinath Latpate","Rohith Namboothiri, Sruthy Ramesh"
Endimension,Healtcare,Seed,"$300,000 ",Mumbai,Endimension Technology is a healthcare Artificial Intelligence startup incubated at IIT Bombay.,2018,Inflection Point Ventures,"Bharadwaj Kss, Apparao MLV, Kurien Zacharia"
Pepper,Content Marktplace,Seed funding,"$306,900 ",Mumbai,End to end content creation platform,2017,"Kunal Bahl, Rohit Bansal",Anirudh Singla and Rishabh Shekhar
CustomerGlu,CRM,,"$320,000 ",Bangalore,CustomerGlu is a Low code Interactive Engagement platform to improve user stickiness.,2016,"Kumar Aakash, Amit Singhal","Prateek Gupta, Raman Shrivastava, Sumant US"
GameEon Studios,Computer Games,,"$320,000 ",Mumbai,"GameEon is based in the sleepless city of Mumbai, India and deals mainly in game development.",2013,Mumbai Angels Network,Nikhil Malankar
Habbit,EdTech,Pre-seed,"$320,000 ",Bangalore,Habbit is online learning community for anyone looking to get mentored in a skill or hobby of their choice.,2020,Ashok Goyal,"Somnath Sandeep, Raghav Goyal"
Knorish,SaaS/Edtech,Pre series A,"$323,000 ",Delhi,All-in-one knowledge commerce SaaS platform,,100x VC,"Kinner N Sacchdev, Rakhi Wadhwa"
Quintype Technologies,Tech,Series A,"$325,000 ",Bangalore,"Building a suite of digital publishing solutions to simplify content creation, distribution",2014,"IIFL Asset Management, Raghav Bahl",Amit Rathore
Eggoz,Agritech,Seed Round,"$329,000 ",Bihar,"Provides technology backed, deep integration services to egg farmers",2017,"Tracxn Labs, Angellist, Tri-Deep Capital",Uttam Kumar
Oga,Fitness,,"$330,000 ",Bangalore,Provides interactive fitness experience to people across the world,,Inflection Point Ventures,Ashish Rawat
Pencilton,FinTech,Pre-seed,"$330,000 ",Hyderabad,"India's first app for kids & teens to manage and spend pocket money while learning about money in a fun, gamified way.",2017,Jupiter,"VishwajitPureti, Ashish Singh, Pallavi Tipparaju, Viraj Gadde"
Uvi Health,Healthcare,Pre-seed,"$330,000 ",Bangalore,Digital health platform delivering personalized care for women’s sexual and reproductive health concerns,2020,Titan Capital,Mehak Malik
Gramophone,AgriTech,,"$340,000 ",Indore,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,2016,"Siana Capital Management, Info Edge","Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan"
6Degree,Fashion,,"$340,000 ",Mumbai,India's leading fashion business platform,2014,"Keiretsu Forum, SucSEED Venture Partners","Amit Bhardwaj, Nikhil Hegde."
